 num;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
----;----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------------
1   ;      0.00;Ced 19l                            ;RNe;03 47 24.0 +24 07 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2   ;     40.57;* 24 Tau                           ;*  ;03 47 21.0386292336 +24 06 58.564163952;6.26     ;6.30     ;6.28     ;     ~   ;A0V            
3   ;     73.74;Gaia DR3 66714418501518848         ;*  ;03 47 29.3506871712 +24 06 51.517466460;     ~   ;     ~   ;     ~   ;     ~   ;~              
4   ;     77.35;GN 03.44.2                         ;RNe;03 47 29.0 +24 06 24                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
5   ;     80.96;* eta Tau                          ;Be*;03 47 29.0765529 +24 06 18.488347      ;2.44     ;2.78     ;2.87     ;2.84     ;B7III          
6   ;     91.59;Cl Melotte 22 1398                 ;*  ;03 47 24.6623894088 +24 05 28.861965780;     ~   ;     ~   ;12.91    ;     ~   ;~              
7   ;    100.41;Cl Melotte 22 1352                 ;PM*;03 47 17.9748573168 +24 06 02.754649512;     ~   ;16.87    ;15.12    ;14.87    ;~              
8   ;    102.91;V* V647 Tau                        ;dS*;03 47 19.3458598776 +24 08 20.815318464;     ~   ;8.51     ;8.26     ;     ~   ;A7Vs           
9   ;    107.21;Gaia DR3 66714177981308800         ;*  ;03 47 29.9079136680 +24 05 49.637864076;     ~   ;     ~   ;     ~   ;     ~   ;~              
10  ;    109.93;HD 23608                           ;SB*;03 47 16.5764110218 +24 07 41.906506002;     ~   ;9.15     ;8.72     ;     ~   ;F3V            
11  ;    129.46;Cl Melotte 22 1335                 ;*  ;03 47 14.5506152544 +24 07 04.931717124;     ~   ;13.9     ;     ~   ;     ~   ;~              
12  ;    137.67;Cl Melotte 22 1377                 ;*  ;03 47 20.8272939288 +24 04 49.366139160;     ~   ;     ~   ;12.53    ;     ~   ;~              
13  ;    167.73;CXOP J034711.7+240652              ;X  ;03 47 11.76 +24 06 52.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
14  ;    168.52;[KRL2001] J034711.70+240653.58     ;X  ;03 47 11.70 +24 06 53.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
15  ;    170.22;CXOP J034712.7+240812              ;X  ;03 47 12.74 +24 08 12.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
16  ;    175.05;2MASS J03471124+2406465            ;X  ;03 47 11.2523156184 +24 06 46.477386972;     ~   ;     ~   ;     ~   ;     ~   ;~              
17  ;    192.84;CXOP J034710.1+240623              ;X  ;03 47 10.17 +24 06 23.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
18  ;    196.15;GAT 1064                           ;*  ;03 47 36.1 +24 05 15                   ;     ~   ;11.83    ;10.32    ;     ~   ;~              
19  ;    232.32;Cl* Melotte 22 BPL 147             ;Er*;03 47 31.9933310842 +24 10 24.944308324;     ~   ;     ~   ;     ~   ;     ~   ;~              
20  ;    242.14;Cl Melotte 22 1526                 ;*  ;03 47 40.7656456632 +24 08 17.170357848;     ~   ;12.53    ;     ~   ;     ~   ;~              
21  ;    243.27;[SCG94] X 186                      ;?  ;03 47 39.5 +24 08 59                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
22  ;    243.73;2MASS J03472534+2402570            ;Y*O;03 47 25.3424655936 +24 02 56.964658812;     ~   ;     ~   ;16.1     ;     ~   ;MV             
23  ;    252.72;Cl Melotte 22 1522                 ;*  ;03 47 40.3504858080 +24 08 57.352331040;     ~   ;12.68    ;     ~   ;     ~   ;~              
24  ;    259.51;CXOP J034705.4+240608              ;X  ;03 47 05.42 +24 06 08.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
25  ;    259.52;[KRL2001] 5                        ;X  ;03 47 14.10 +24 03 18.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
26  ;    274.07;Cl* Melotte 22 KEL 17              ;*  ;03 47 06.0 +24 09 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
